section	what	with	start_month	start_year	end_month	end_year	where
academic	Postdoc	"Sunagawa Lab, ETH Zürich"				2020	"Zürich, SWITZERLAND"
academic	PhD. in Oceanography	Polytechnic University of Catalonia & Marine Sciences Institute (ICM - CSIC)				2019	"Barcelona, SPAIN"
academic	MSc in Biodiversity: Conservation and Evolution	University of Valencia				2008	"Valencia, SPAIN"
academic	Degree in Biological Sciences	University of Valencia				2007	"Valencia, SPAIN"
grant-contract	Introduction to Scientific Research Grant - Education and Science Ministry	University of Valencia and Cavanilles Intitute for Biodiversity and Evolutionary Biology	11	2006	7	2007	"Valencia, SPAIN"
grant-contract	Research Technician - Geronimo Forteza Programme	University of Valencia and Cavanilles Intitute for Biodiversity and Evolutionary Biology	11	2008	12	2008	"Valencia, SPAIN"
grant-contract	JAE Predoc (Phd Grant/Contract)	"Marine Sciences Institute (ICM), CSIC"	9	2009	8	2013	"Barcelona, SPAIN"
grant-contract	Research Technician Contract	"Marine Sciences Institute (ICM), CSIC"	11	2013	6	2014	"Barcelona, SPAIN"
grant-contract	Research Technician Contract	"Marine Sciences Institute (ICM), CSIC"	4	2015	11	2015	"Barcelona, SPAIN"
grant-contract	Grant for a stay at Dr. Fuhrman Lab	"University of Southern California (USC), Los Angeles, CA, USA"	9	2011	12	2011	"Valencia, SPAIN"
teaching	Practical applications to epidemiology	Valencia's School for Health Studies (EVES)			5	2013	"Valencia, SPAIN"
teaching	Biostatistics for Doctors: practical applications	Valencia's School for Health Studies (EVES)			11	2014	"Valencia, SPAIN"
course	II Scientific Workshop of ICBiBE	Cavanilles Intitute for Biodiversity and Evolutionary Biology			12	2006	"Valencia, SPAIN"
course	International Course on Ecological Modelling	University of Valenciaand the Spanish Society for Limnology and the Spanish Society for Terrestrial Ecology			11	2007	"Valencia, SPAIN"
course	Socrates Intensive Programme Mathematics and Biology	Universit- d'Orsay Paris XI y AgroParisTech			7	2008	"Paris, FRANCE"
course	"Famoso III Scientific Cruise (Barcelona - Barcelona, Spain)"				9	2009	
course	"Citowork Cruise (Barcelona - Barcelona, Spain)"				3	2010	
course	"Inter-calibration Scientific Cruise - Malspina 2010 Expedition (Las Palmas de Gran Canaria, Spain - Cartagena, Spain)"				5	2010	
course	Methods in Microbial Oceanography Course	"Marine Sciences Institute (ICM), CSIC"			6	2010	"Barcelona, SPAIN"
course	"Malaspina 2010 Scientific Cruise (Cadiz, Spain - Rio de Janeiro, Brazil)"				1	2011	
course	Bioinformatics for metagenomics and environmental sequencing	"MERG and University of Oslo, Department of Biology"			4	2011	"Oslo, NORWAY"
course	"Tara Oceans Scientific Cruise (Bermudas - Açores, Portugal)"				3	2012	
oral	Constatación empírica de un modelo estocàstico para predecir la extinción de especies en interacción	"Salazar, G., et al."			2	2009	II Congreso Nacional de Biodiversidad
oral	Biogeografia y diversidad de procariotas diazotrofos marinos mediante técnicas moleculares y genómicas	"Cornejo-Castillo, FM., Salazar, G., Stal, L., Hingamp, P., Gasol, J.M., Acinas, S.G."			9	2012	IX Congreso de Microbiología del Medio Acuàtico
oral	Global beta-diversity patterns in deep-ocean bacterial communities	"Salazar, G., Cornejo-Castillo, FM., Acinas, S.G., Gasol, J.M."			7	2012	ASLO Aquatic Sciences Meeting
oral	Exploración de la diversidad microbiana en el océano profundo: primeros Resultados de la Expedición Malaspina 2010	"Gasol, J.M., Salazar, G., Cornejo-Castillo, FM., Pernice, M., Gomes, A., Massana, R., Moràn, X.G., Arrieta, T., Duarte, C., Acinas, S.G."			2	2013	IV Congreso de Biodiversidad
oral	Patrones de diversidad globales de procariotas y picoeucariotas en el océano fótico y afótico	"Salazar G., Logares R., Cornejo-Castillo F.M., Sunagawa S., Bork P., Gasol J.M. and Acinas S.G."			9	2014	X Congreso de Microbiología del Medio Acuàtico
oral	A global ocean metagenomic survey reveals events of vertical connectivity in oceanic microbial communities	"Salazar G., Cornejo-Castillo F.M., Logares R., Sunagawa S., Ludicone D., Lionel G., Stemmann L., Laxenaire R., Speich S., Gasol J.M., Acinas S.G."			8	2015	SAME 14
oral	Living on particles in the ocean surface and the bathypelagic: prokaryotic groups involved and phylogenetic conservation of the particle-association trait	"Mestre M., Salazar G., Cornejo-Castillo F.M., Sala M.M., Acinas S.G., Gasol J.M."			8	2015	SAME 14
poster	El papel del canibalismo en copepodos dentro de una red trófica sencilla	"Salazar, G., et al."			6	2007	XI Conferencia Española y I Encuentro Iberamericano de Biometría
poster	Un modelo nulo para la conectancia de redes de interacció planta-animal	"Salazar, G., et al."			6	2007	XI Conferencia Española y I Encuentro Iberamericano de Biometría
poster	Diversity patterns of cultured marine bacteria ussing different organic matter sources as compared to single amplified genomes	"Salazar, G., Sarmento, H., DÕez-Vives, C., Ferrera, I., Gasol, J.M., and Acinas, S.G."			11	2011	SAME 12
poster	Exploración de la diversidad microbiana en en distintos contextos ecológicos dentro de la expedición TARA Oceans	"Salazar, G., Logares, R., Cornejo-Castillo, FM., Ferrera, I., Sarmento, H., Gasol, JM., Acinas, S.G."			2	2013	IV Congreso de Biodiversidad
